DECADES,OPEN (YEAR),CLOSE (YEAR),RESTAURANT,CUISINE,ADDRESS,ADDRESS_Clean,lat,long,,OWNER BIO,TEXT,IMAGE,AUDIO,VIDEO
1960,,,Adam's Rib,International,21st & Pennsylvania Ave. NW,21st & Pennsylvania Ave. NW,38.9013274,-77.0466578,,,,matchbook cover; menu,,
2010,2019,-,Anju,Korean,"1805 18th St NW, Washington, DC 20009","1805 18th St NW, Washington, DC 20009",38.9143826,-77.0414505,,Yesoon Lee/Danny Lee,,,,
1970,1972,,Apana,Indian (Punjab),3066 M Street Northwest,"3066 M Street NW, Washington DC",38.9049669,-77.060865,,"Amarjeet ""Umbi"" Singh/friend",,,,
,,,Aster,Chinese,1401 H Street Northwest,"1401 H Street NW, Washington DC",38.9005852,-77.032439,,,,,,
1930,1930,,Bamboo Garden (Café La Paree),Chinese,,,,,,Lee Fong,,,,
1990,1991,,Benihana of Tokyo,Japanese,,,,,,,,,,
,,,Black Tahiti,Tiki,1776 K Street NW,"1776 K Street NW, Washington DC",38.9021229,-77.0413265,,,,,,
1980,1988,,Bombay Club,Indian,815 Connecticut Avenue Northwest,"815 Connecticut Avenue NW, Washington DC",38.901057,-77.0379279,,Ashok Bajaj,,,,
1910,1918,,Canton Pagoda,Chinese,,,,,,Ernst Gerstenberg (?),,,,
1950,1953,,Casino Royal,Chinese,1401 H Street Northwest,"1401 H Street NW, Washington DC",38.9005852,-77.032439,,Leon Zeiger (1918-2002),,Menu/,,
1940,1941,,Cathay Restaurant,Chinese,624 H Street Northwest,"624 H Street NW, Washington DC",38.8995147,-77.0212665,,Lee Jung Won (1894-1967),,,,
2000,2005,2008,Chez Mama-san,Japanese,"1039 33rd Street NW Washington, DC 20050","1039 33rd Street NW Washington, DC 20050",38.9047071,-77.0658791,,,,,,
2010,2019,-,ChiKo (Dupont),Chinese/Korean,"2029 P St NW, Washington, DC 20036","2029 P St NW, Washington, DC 20036",38.9098496,-77.0462212,,,,,,
2010,2017,-,ChiKo (Eastern Market),Chinese Korean,"423 8th St SE, Washington, DC 20004","423 8th St SE, Washington, DC 20004",38.8830311,-76.9951547,,,,,,
,,,Chin's Palace,Chinese,"5205 Marlboro Pike, SE","5205 Marlboro Pike, SE, Washington DC",38.8688884,-76.9186149,,,,,,
1930,1930,late 1930s,China Doll,Chinese,627 H Street Northwest,"627 H Street NW, Washington DC",38.9000778,-77.0212272,,Jimmy Dere/since 1969-Davis Lee&Tom-Lin Lee,,,,
1980,1988,,China Doll Gourmet,Pan-Asian,627 H Street Northwest,"627 H Street NW, Washington DC",38.9000778,-77.0212272,,Toon Lee,,,,
1960,1969,,China Dragon Restaurant,Chinese,"7527 Landover road, Landover, MD","7527 Landover road, Landover, MD",38.9261496,-76.8857203,,,,,,
1930,1937,,China Inn,Chinese,631 H Street Northwest,"631 H Street NW, Washington DC",38.8999471,-77.0205122,,Sing Sha Moy (1888-1944)/ Irene Moy Yee (1923-1978)/William Donald Yee (1920-1998),,,,
1940,1943,c.1943,Chinese Lantern,Chinese,,,,,,,,,,
1980,1987,operating,City Lights of China,Chinese,"1731 Connecticut Ave NW #1, Washington, DC 20009","1731 Connecticut Ave NW #1, Washington, DC 20009",38.9135689,-77.0452812,,Formerly Larry La,,,,
1970,1971,,Court of the Mandarins,Chinese,1824 M Street Northwest,"1824 M Street NW, Washington DC",38.9052884,-77.0425979,,Aline Fugh Berman (1927-2003),,,,
,,,Ding How,Chinese,1419 Irving Street Northwest,"1419 Irving Street NW, Washington DC",38.9287582,-77.0332234,,,,,,
1990,1991,,Duangrat's Thai restaurant,Thai,"5878 Leesburg Pike, Bailey's Crossroads, VA","5878 Leesburg Pike, Bailey's Crossroads, VA",38.853396,-77.1339778,,,,,,
1960,1968,,Gaylord Indo-Pakistani Restaurant,Indian (Punjab),1731 Connecticut Avenue Northwest,"1731 Connecticut Avenue NW, Washington DC",38.9135689,-77.0452812,,,,,,
1970,1979,,Germaine's,Pan-Asian,,,,,,,,matchbook,,
,,,Germaine's,Vietnamese,2400 Wisconsin Avenue Northwest,"2400 Wisconsin Avenue NW, Washington DC",38.9211428,-77.0725941,,,,,,
,,,Golden Palace,Chinese,720 Seventh Street Northwest,"720 Seventh Street NW, Washington DC",38.8992262,-77.0222169,,Nelson Lee,,,,
1940,1944,,Good Earth Restaurant,Chinese,1609 K Street Northwest,"1609 K Street NW, Washington DC",38.9028566,-77.0370881,,Dick Gee Lam (1902-1993),,,,
,,,Gung Ho,Chinese,"1406 G Street, NW","1406 G Street NW, Washington DC",38.8980936,-77.0323857,,,,,,
2010,2019,-,Hanumanh,Lao,"1604 7th St NW, Washington, DC 20001","1604 7th St NW, Washington, DC 20001",38.9113884,-77.0221606,,Boby Pradachith,,,,
1980,1981,,Hunan Gourmet,Chinese (Hunan),726 Seventh Street Northwest,"726 Seventh Street NW, Washington DC",38.899329,-77.0222393,,,,,,
1970,1970,,Jade Palace,Chinese,,,,,,,,,,
